"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"31","tt0116531","Thu Feb  7 00:00:00 2013","","","High School High","Feature Film","Hart Bochner","2","5.2","86","1996","comedy, crime, romance","8358","1996-10-25","http://www.imdb.com/title/tt0116531/"
"32","tt0443680","Thu Feb  7 00:00:00 2013","","","The Assassination of Jesse James by the Coward Robert Ford","Feature Film","Andrew Dominik","3","7.6","160","2007","biography, crime, drama, history, western","99978","2007-09-02","http://www.imdb.com/title/tt0443680/"
"33","tt0107207","Thu Feb  7 00:00:00 2013","","","In the Name of the Father","Feature Film","Jim Sheridan","8","8.1","133","1993","biography, drama, thriller","59490","1993-12-12","http://www.imdb.com/title/tt0107207/"
"34","tt1853728","Sun Feb  3 00:00:00 2013","","","Django Unchained","Feature Film","Quentin Tarantino","6","8.5","165","2012","adventure, western","390077","2012-12-25","http://www.imdb.com/title/tt1853728/"
"35","tt1187043","Sun Feb  3 00:00:00 2013","","","3 Idiots","Feature Film","Rajkumar Hirani","4","8.3","170","2009","comedy, drama, romance","73141","2009-12-23","http://www.imdb.com/title/tt1187043/"
"36","tt0018773","Fri Feb  1 00:00:00 2013","","","The Circus","Feature Film","Charlie Chaplin","7","8.0","71","1928","comedy, romance","10576","1928-01-06","http://www.imdb.com/title/tt0018773/"
"37","tt1723811","Thu Jan 31 00:00:00 2013","","","Shame","Feature Film","Steve McQueen","9","7.3","101","2011","drama","82397","2011-09-04","http://www.imdb.com/title/tt1723811/"
"38","tt0387898","Thu Jan 24 00:00:00 2013","","","Caché","Feature Film","Michael Haneke","7","7.3","117","2005","drama, mystery, thriller","37720","2005-05-14","http://www.imdb.com/title/tt0387898/"
"39","tt0131325","Thu Jan 10 00:00:00 2013","","","Bowfinger","Feature Film","Frank Oz","5","6.3","97","1999","comedy","44860","1999-08-13","http://www.imdb.com/title/tt0131325/"
"40","tt0903624","Tue Jan  1 00:00:00 2013","","","The Hobbit: An Unexpected Journey","Feature Film","Peter Jackson","8","8.1","169","2012","adventure, fantasy","319815","2012-11-28","http://www.imdb.com/title/tt0903624/"
"41","tt0454876","Tue Jan  1 00:00:00 2013","","","Life of Pi","Feature Film","Ang Lee","9","8.1","127","2012","adventure, drama, fantasy","214807","2012-09-28","http://www.imdb.com/title/tt0454876/"
"42","tt0970179","Sat Dec 29 00:00:00 2012","","","Hugo","Feature Film","Martin Scorsese","4","7.6","126","2011","adventure, drama, family, mystery","161427","2011-10-10","http://www.imdb.com/title/tt0970179/"
"43","tt1024648","Thu Nov 29 00:00:00 2012","","","Argo","Feature Film","Ben Affleck","8","7.9","120","2012","drama, history, thriller","225738","2012-08-31","http://www.imdb.com/title/tt1024648/"
"44","tt1764183","Thu Nov 29 00:00:00 2012","","","Arbitrage","Feature Film","Nicholas Jarecki","6","6.7","107","2012","drama, thriller","23521","2012-01-21","http://www.imdb.com/title/tt1764183/"
"45","tt0013442","Mon Nov 26 00:00:00 2012","","","Nosferatu, eine Symphonie des Grauens","Feature Film","F.W. Murnau","8","8.0","94","1922","horror","49993","1922-02-17","http://www.imdb.com/title/tt0013442/"
