"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"31","tt0058461","Mon Feb 11 00:00:00 2013","","","Kourallinen dollareita","Feature Film","Sergio Leone","6","8.0","99","1964","western","75160","1964-09-12","http://www.imdb.com/title/tt0058461/"
"32","tt0986264","Mon Feb 11 00:00:00 2013","","","Taare Zameen Par","Feature Film","Aamir Khan","6","8.3","165","2007","drama","32365","2007-12-21","http://www.imdb.com/title/tt0986264/"
"33","tt0055630","Sat Feb  9 00:00:00 2013","","","Yojimbo - onnensoturi","Feature Film","Akira Kurosawa","3","8.3","110","1961","action, adventure","46527","1961-04-25","http://www.imdb.com/title/tt0055630/"
"34","tt0318374","Thu Feb  7 00:00:00 2013","","","The Cooler","Feature Film","Wayne Kramer","2","7.0","101","2003","drama, romance","24466","2003-01-17","http://www.imdb.com/title/tt0318374/"
"35","tt0042546","Thu Feb  7 00:00:00 2013","","","Ystäväni Harvey","Feature Film","Henry Koster","1","8.0","104","1950","comedy, drama","34680","1950-10-13","http://www.imdb.com/title/tt0042546/"
"36","tt0107207","Tue Feb  5 00:00:00 2013","","","Isän nimeen","Feature Film","Jim Sheridan","7","8.1","133","1993","biography, drama, thriller","59073","1993-12-12","http://www.imdb.com/title/tt0107207/"
"37","tt1853728","Sun Feb  3 00:00:00 2013","","","Django Unchained","Feature Film","Quentin Tarantino","5","8.5","165","2012","adventure, western","381272","2012-12-25","http://www.imdb.com/title/tt1853728/"
"38","tt1187043","Sun Feb  3 00:00:00 2013","","","3 Idiots","Feature Film","Rajkumar Hirani","2","8.3","170","2009","comedy, drama, romance","72138","2009-12-23","http://www.imdb.com/title/tt1187043/"
"39","tt0018773","Fri Feb  1 00:00:00 2013","","","Sirkus","Feature Film","Charlie Chaplin","7","8.0","71","1928","comedy, romance","10532","1928-01-06","http://www.imdb.com/title/tt0018773/"
"40","tt0387898","Wed Jan 30 00:00:00 2013","","","Kätketty","Feature Film","Michael Haneke","5","7.3","117","2005","drama, mystery, thriller","37575","2005-05-14","http://www.imdb.com/title/tt0387898/"
"41","tt1723811","Wed Jan 30 00:00:00 2013","","","Shame","Feature Film","Steve McQueen","10","7.3","101","2011","drama","81656","2011-09-04","http://www.imdb.com/title/tt1723811/"
"42","tt0857376","Wed Jan  9 00:00:00 2013","","","Gabriel","Feature Film","Shane Abbess","1","5.5","114","2007","action, fantasy, horror, thriller","9000","2007-11-15","http://www.imdb.com/title/tt0857376/"
"43","tt0903624","Mon Dec 31 00:00:00 2012","","","Hobitti - odottamaton matka","Feature Film","Peter Jackson","8","8.1","169","2012","adventure, fantasy","315432","2012-11-28","http://www.imdb.com/title/tt0903624/"
"44","tt0454876","Mon Dec 31 00:00:00 2012","","","Piin elämä","Feature Film","Ang Lee","8","8.1","127","2012","adventure, drama, fantasy","210524","2012-09-28","http://www.imdb.com/title/tt0454876/"
"45","tt0970179","Mon Dec 31 00:00:00 2012","","","Hugo","Feature Film","Martin Scorsese","4","7.6","126","2011","adventure, drama, family, mystery","160202","2011-10-10","http://www.imdb.com/title/tt0970179/"
"46","tt1024648","Thu Nov 29 00:00:00 2012","","","Argo","Feature Film","Ben Affleck","9","7.9","120","2012","drama, history, thriller","222002","2012-08-31","http://www.imdb.com/title/tt1024648/"
"47","tt1764183","Thu Nov 29 00:00:00 2012","","","Keinottelua","Feature Film","Nicholas Jarecki","5","6.7","107","2012","drama, thriller","23132","2012-01-21","http://www.imdb.com/title/tt1764183/"
"48","tt0013442","Sun Nov 25 00:00:00 2012","","","Nosferatu","Feature Film","F.W. Murnau","5","8.0","94","1922","horror","49738","1922-02-17","http://www.imdb.com/title/tt0013442/"
"49","tt1392170","Wed Nov 21 00:00:00 2012","","","Nälkäpeli","Feature Film","Gary Ross","7","7.2","142","2012","adventure, fantasy, sci_fi","360758","2012-03-12","http://www.imdb.com/title/tt1392170/"
"50","tt1204340","Sat Nov 17 00:00:00 2012","","","Tyrannosaur","Feature Film","Paddy Considine","9","7.5","92","2011","drama","16302","2011-01-21","http://www.imdb.com/title/tt1204340/"
"51","tt1074638","Fri Nov  9 00:00:00 2012","","","007 Skyfall","Feature Film","Sam Mendes","7","7.8","143","2012","action, adventure, thriller","311246","2012-10-23","http://www.imdb.com/title/tt1074638/"
"52","tt1276104","Fri Nov  9 00:00:00 2012","","","Looper","Feature Film","Rian Johnson","7","7.6","119","2012","action, crime, sci_fi, thriller","235191","2012-09-06","http://www.imdb.com/title/tt1276104/"
"53","tt0030993","Thu Nov  8 00:00:00 2012","","","Komedia meistä ihmisistä","Feature Film","Frank Capra","2","7.9","126","1938","comedy, romance","12827","1938-08-23","http://www.imdb.com/title/tt0030993/"
"54","tt0056923","Wed Nov  7 00:00:00 2012","","","Charade - vaarallinen peli","Feature Film","Stanley Donen","7","8.0","113","1963","comedy, mystery, romance, thriller","33909","1963-12-05","http://www.imdb.com/title/tt0056923/"
"55","tt0061395","Wed Nov  7 00:00:00 2012","","","Päiväperho","Feature Film","Luis Bunuel","4","7.8","101","1967","drama","19149","1967-05-24","http://www.imdb.com/title/tt0061395/"
"56","tt0880502","Tue Nov  6 00:00:00 2012","","","Taivaan reunalla","Feature Film","Fatih Akin","3","7.8","116","2007","drama","18995","2007-05-23","http://www.imdb.com/title/tt0880502/"
"57","tt0025318","Tue Nov  6 00:00:00 2012","","","Sehän käy kuin leikiten","Feature Film","Norman McLeod","4","7.4","68","1934","comedy","2922","1934-11-30","http://www.imdb.com/title/tt0025318/"
"58","tt0088846","Tue Nov  6 00:00:00 2012","","","Brazil - tämän hetken tuolla puolen","Feature Film","Terry Gilliam","6","8.0","132","1985","drama, fantasy, sci_fi","111483","1985-02-20","http://www.imdb.com/title/tt0088846/"
"59","tt1343727","Wed Oct 31 00:00:00 2012","","","Dredd","Feature Film","Pete Travis","9","7.0","95","2012","action, sci_fi","104266","2012-07-11","http://www.imdb.com/title/tt1343727/"
"60","tt1410063","Mon Oct 29 00:00:00 2012","","","Jin líng shí san chai","Feature Film","Yimou Zhang","4","7.5","146","2011","drama, history, war","22403","2011-12-16","http://www.imdb.com/title/tt1410063/"
"61","tt0497329","Wed Oct 24 00:00:00 2012","","","Vihollisen keskellä 2 - pahuuden akseli","Video","James Dodson","1","4.5","96","2006","action, thriller, war","3766","2006-01-08","http://www.imdb.com/title/tt0497329/"
"62","tt1606392","Sat Oct 20 00:00:00 2012","","","Win Win","Feature Film","Thomas McCarthy","6","7.2","106","2011","comedy, drama, sport","34205","2011-01-21","http://www.imdb.com/title/tt1606392/"
"63","tt1508675","Fri Oct 19 00:00:00 2012","","","Le Havre","Feature Film","Aki Kaurismäki","4","7.2","93","2011","comedy, drama","9527","2011-05-17","http://www.imdb.com/title/tt1508675/"
"64","tt1053424","Wed Oct 17 00:00:00 2012","","","Repo Men - Noutajat","Feature Film","Miguel Sapochnik","3","6.3","111","2010","action, crime, drama, sci_fi, thriller","64099","2010-03-19","http://www.imdb.com/title/tt1053424/"
"65","tt0803061","Fri Oct 12 00:00:00 2012","","","Red Dog","Feature Film","Kriv Stenders","2","7.3","92","2011","comedy, drama, family, romance","8114","2011-02","http://www.imdb.com/title/tt0803061/"
"66","tt1714205","Tue Oct  9 00:00:00 2012","","","Puhdistus","Feature Film","Antti J. Jokinen","8","6.9","120","2012","drama, history","1317","2012-09-07","http://www.imdb.com/title/tt1714205/"
"67","tt0995845","Thu Oct  4 00:00:00 2012","","","The Courier","Feature Film","Hany Abu-Assad","1","4.4","99","2012","action, crime, thriller","2690","2012-03-29","http://www.imdb.com/title/tt0995845/"
"68","tt1259521","Sun Sep 30 00:00:00 2012","","","The Cabin in the Woods","Feature Film","Drew Goddard","6","7.1","95","2012","horror, mystery, thriller","155740","2012-03-09","http://www.imdb.com/title/tt1259521/"
"69","tt1675434","Sun Sep 30 00:00:00 2012","","","Koskemattomat","Feature Film","Olivier Nakache, Eric Toledano","10","8.5","112","2011","biography, comedy, drama","193809","2011-09-23","http://www.imdb.com/title/tt1675434/"
"70","tt1436000","Sat Sep 29 00:00:00 2012","","","Cooking History","Documentary","Péter Kerekes","4","7.2","88","2009","documentary","166","2009-04-07","http://www.imdb.com/title/tt1436000/"
"71","tt2190421","Sat Sep 29 00:00:00 2012","","","Suomen Marsalkka","Feature Film","Gilbert Lukalia","2","2.7","50","2012","drama","181","2012-09-28","http://www.imdb.com/title/tt2190421/"
"72","tt1441326","Wed Sep 26 00:00:00 2012","","","Martha Marcy May Marlene","Feature Film","Sean Durkin","3","7.0","102","2011","drama","26110","2011-01-21","http://www.imdb.com/title/tt1441326/"
"73","tt1615147","Tue Sep 25 00:00:00 2012","","","Margin Call","Feature Film","J.C. Chandor","1","7.1","107","2011","drama, thriller","53983","2011-01-25","http://www.imdb.com/title/tt1615147/"
"74","tt1784575","Sun Sep 23 00:00:00 2012","","","Parada","Feature Film","Srdjan Dragojevic","2","7.3","115","2011","comedy, drama","5834","2011-10-31","http://www.imdb.com/title/tt1784575/"
"75","tt1675192","Sun Sep 23 00:00:00 2012","","","Take Shelter","Feature Film","Jeff Nichols","7","7.4","121","2011","drama, thriller","40723","2011-01-24","http://www.imdb.com/title/tt1675192/"
"76","tt2275813","Fri Sep 21 00:00:00 2012","","","Ljudozder vegetarijanac","Feature Film","Branko Schmidt","9","6.9","85","2012","drama","727","2012-03-01","http://www.imdb.com/title/tt2275813/"
"77","tt1605782","Fri Sep 21 00:00:00 2012","","","Comic-Con Episode IV: A Fan's Hope","Documentary","Morgan Spurlock","3","7.0","88","2011","documentary","1451","2011-09-10","http://www.imdb.com/title/tt1605782/"
"78","tt1033575","Fri Sep 21 00:00:00 2012","","","The Descendants","Feature Film","Alexander Payne","3","7.4","115","2011","comedy, drama","136000","2011-09-02","http://www.imdb.com/title/tt1033575/"
"79","tt1340800","Fri Sep 21 00:00:00 2012","","","Pappi lukkari talonpoika vakooja","Feature Film","Tomas Alfredson","6","7.1","127","2011","drama, mystery, thriller","97308","2011-09-05","http://www.imdb.com/title/tt1340800/"
"80","tt1748122","Wed Sep 19 00:00:00 2012","","","Moonrise Kingdom","Feature Film","Wes Anderson","10","7.8","94","2012","comedy, drama, romance","122180","2012-05-16","http://www.imdb.com/title/tt1748122/"
"81","tt0427944","Tue Sep 18 00:00:00 2012","","","Thank You for Smoking","Feature Film","Jason Reitman","5","7.7","92","2005","comedy, drama","142782","2005-09-09","http://www.imdb.com/title/tt0427944/"
"82","tt1515091","Sat Sep 15 00:00:00 2012","","","Sherlock Holmes: A Game of Shadows","Feature Film","Guy Ritchie","9","7.4","129","2011","action, adventure, crime, mystery, thriller","204829","2011-12-10","http://www.imdb.com/title/tt1515091/"
"83","tt1210166","Thu Sep 13 00:00:00 2012","","","Moneyball","Feature Film","Bennett Miller","7","7.6","133","2011","biography, drama, sport","174289","2011-09-09","http://www.imdb.com/title/tt1210166/"
"84","tt0493464","Wed Sep 12 00:00:00 2012","","","Wanted","Feature Film","Timur Bekmambetov","2","6.7","110","2008","action, crime, thriller","208619","2008-06-12","http://www.imdb.com/title/tt0493464/"
"85","tt1124035","Tue Sep 11 00:00:00 2012","","","Vallan kääntöpuoli","Feature Film","George Clooney","5","7.2","101","2011","drama","125533","2011-08-31","http://www.imdb.com/title/tt1124035/"
